date,total_sales,total_orders
2017-08-03,25783.489999999998,148
2017-08-04,26447.58,142
2017-08-05,16053.04,115
2017-08-06,20820.63,109
2017-08-07,32995.63,157
2017-08-08,25051.65,146
2017-08-09,33524.93,144
2017-08-10,28721.57,157
2017-08-11,29254.78,141
2017-08-12,21137.81,98
2017-08-13,21131.59,96
2017-08-14,26457.45,159
2017-08-15,33446.33,194
2017-08-16,37468.88,174
2017-08-17,25618.11,158
2017-08-18,23498.58,147
2017-08-19,19646.26,108
2017-08-20,17610.45,104
2017-08-21,35257.94,177
2017-08-22,24226.56,138
2017-08-23,74810.36,112
2017-08-24,19152.29,128
2017-08-25,20047.9,123
2017-08-26,13289.59,93
2017-08-27,20853.63,119
2017-08-28,30069.39,155
2017-08-29,41402.88,137
2017-08-30,39569.31,181
2017-08-31,31075.36,149
2017-09-01,38503.35,158
2017-09-02,24897.9,104
2017-09-03,43352.75,125
2017-09-04,32001.510000000002,150
2017-09-05,32456.76,157
2017-09-06,34408.37,140
2017-09-07,24289.44,99
2017-09-08,20896.670000000002,116
2017-09-09,22042.44,106
2017-09-10,24649.7,136
2017-09-11,30513.03,180
2017-09-12,61390.79,206
2017-09-13,37638.62,207
2017-09-14,34522.06,166
2017-09-15,24649.97,150
2017-09-16,26118.93,129
2017-09-17,25066.46,126
2017-09-18,45569.9,183
2017-09-19,31974.08,154
2017-09-20,30561.3,163
2017-09-21,27869.16,150
2017-09-22,24727.13,138
2017-09-23,15504.01,88
2017-09-24,20435.72,118
2017-09-25,26283.23,136
2017-09-26,28586.52,180
2017-09-27,36322.99,147
2017-09-28,40237.03,143
2017-09-29,140554.21,121
2017-09-30,17071.46,109
2017-10-01,26174.29,128
2017-10-02,48222.049999999996,143
2017-10-03,33821.81,198
2017-10-04,28315.64,157
2017-10-05,55843.41,140
2017-10-06,28746.37,130
2017-10-07,22966.1,105
2017-10-08,23251.84,126
2017-10-09,45187.64,193
2017-10-10,37072.38,185
2017-10-11,30629.77,158
2017-10-12,29977.6,143
2017-10-13,32908.46,154
2017-10-14,18589.98,116
2017-10-15,25241.06,121
2017-10-16,40979.7,195
2017-10-17,61036.130000000005,202
2017-10-18,43875.54,179
2017-10-19,31021.68,176
2017-10-20,24317.09,124
2017-10-21,22402.32,113
2017-10-22,28329.33,158
2017-10-23,35482.99,161
2017-10-24,35287.73,164
2017-10-25,28120.08,156
2017-10-26,37350.63,144
2017-10-27,33777.26,133
2017-10-28,23458.31,88
2017-10-29,28148.24,132
2017-10-30,32014.59,149
2017-10-31,38955.51,160
2017-11-01,32216.43,111
2017-11-02,30573.36,124
2017-11-03,39124.44,143
2017-11-04,40193.57,111
2017-11-05,26208.13,144
2017-11-06,41271.04,193
2017-11-07,30855.39,160
2017-11-08,32250.48,175
2017-11-09,38360.99,191
2017-11-10,32672.7,165
2017-11-11,32882.35,159
2017-11-12,31203.11,174
2017-11-13,37142.71,205
2017-11-14,38103.06,192
2017-11-15,33884.21,186
2017-11-16,42403.51,226
2017-11-17,50698.91,197
2017-11-18,35836.25,149
2017-11-19,27204.47,158
2017-11-20,62856.75,230
2017-11-21,54289.05,228
2017-11-22,43770.82,201
2017-11-23,81002.64,283
2017-11-24,256809.37,1176
2017-11-25,94261.4,499
2017-11-26,69614.04,391
2017-11-27,79703.88,403
2017-11-28,81912.95999999999,380
2017-11-29,58549.45,323
2017-11-30,43588.71,267
2017-12-01,57422.41,275
2017-12-02,39402.18,216
2017-12-03,43529.42,234
2017-12-04,65152.97,337
2017-12-05,55006.24,282
2017-12-06,58216.64,280
2017-12-07,43406.53,229
2017-12-08,40613.39,219
2017-12-09,25482.73,155
2017-12-10,33090.96,190
2017-12-11,44495.43,267
2017-12-12,49303.69,260
2017-12-13,56952.28,218
2017-12-14,34079.53,200
2017-12-15,38454.78,192
2017-12-16,26167.17,131
2017-12-17,25305.02,133
2017-12-18,40586.12,209
2017-12-19,29192.260000000002,176
2017-12-20,39247.52,171
2017-12-21,23410.93,143
2017-12-22,22473.2,111
2017-12-23,18280.45,109
2017-12-24,7373.41,59
2017-12-25,14827.61,90
2017-12-26,27678.52,168
2017-12-27,25300.31,167
2017-12-28,19610.17,146
2017-12-29,25007.19,135
2017-12-30,17599.93,97
2017-12-31,10913.35,74
2018-01-01,9896.45,74
2018-01-02,36031.32,204
2018-01-03,43342.24,225
2018-01-04,45546.17,258
2018-01-05,41182.13,210
2018-01-06,47856.14,216
2018-01-07,41369.81,196
2018-01-08,58462.93,293
2018-01-09,43265.03,252
2018-01-10,65117.770000000004,277
2018-01-11,75685.54,266
2018-01-12,50943.56,243
2018-01-13,36906.23,219
2018-01-14,41267.61,235
2018-01-15,57689.82,307
2018-01-16,69627.21,302
2018-01-17,45591.7,282
2018-01-18,40277.1,241
2018-01-19,41291.1,235
2018-01-20,32575.02,184
2018-01-21,33133.79,199
2018-01-22,54960.06,314
2018-01-23,51353.99,262
2018-01-24,44246.97,244
2018-01-25,42260.63,233
2018-01-26,47930.27,229
2018-01-27,34011.03,153
2018-01-28,31787.94,156
2018-01-29,48252.73,246
2018-01-30,59273.85,258
2018-01-31,44212.4,256
2018-02-01,61649.19,232
2018-02-02,45896.22,212
2018-02-03,31100.69,193
2018-02-04,33213.44,201
2018-02-05,53470.46,271
2018-02-06,52944.49,268
2018-02-07,44658.61,248
2018-02-08,39001.73,230
2018-02-09,40206.73,216
2018-02-10,30356.21,179
2018-02-11,34356.41,172
2018-02-12,38889.35,218
2018-02-13,37418.14,224
2018-02-14,58486.38,295
2018-02-15,46299.12,283
2018-02-16,43347.48,214
2018-02-17,35030.16,204
2018-02-18,36592.13,202
2018-02-19,44115.78,259
2018-02-20,47423.99,289
2018-02-21,53850.06,266
2018-02-22,95988.53,279
2018-02-23,37180.57,235
2018-02-24,31697.95,191
2018-02-25,44831.11,237
2018-02-26,59524.3,299
2018-02-27,70332.53,298
2018-02-28,63398.95,313
2018-03-01,65000.66,277
2018-03-02,46533.7,266
2018-03-03,35451.99,214
2018-03-04,40384.52,236
2018-03-05,70295.56999999999,264
2018-03-06,54772.409999999996,271
2018-03-07,53908.21,259
2018-03-08,48552.27,234
2018-03-09,41707.53,204
2018-03-10,43490.13,193
2018-03-11,41904.55,218
2018-03-12,41641.79,232
2018-03-13,52535.02,227
2018-03-14,38547.11,199
2018-03-15,61484.96,290
2018-03-16,52469.95,252
2018-03-17,31782.55,180
2018-03-18,40415.31,215
2018-03-19,77564.69,303
2018-03-20,54551.9,297
2018-03-21,51926.15,286
2018-03-22,45534.25,254
2018-03-23,46802.97,221
2018-03-24,33897.86,165
2018-03-25,40315.16,190
2018-03-26,54884.19,272
2018-03-27,58102.46,245
2018-03-28,40588.01,220
2018-03-29,39005.66,194
2018-03-30,33928.18,165
2018-03-31,42065.79,168
2018-04-01,42001.63,207
2018-04-02,69783.57,282
2018-04-03,50258.06,247
2018-04-04,53599.5,257
2018-04-05,51926.12,266
2018-04-06,41453.73,189
2018-04-07,34540.2,164
2018-04-08,33956.05,185
2018-04-09,67336.67,253
2018-04-10,39200.74,201
2018-04-11,55581.31,274
2018-04-12,51450.04,255
2018-04-13,48453.62,202
2018-04-14,32613.75,146
2018-04-15,47998.52,223
2018-04-16,59102.7,280
2018-04-17,64927.83,266
2018-04-18,57858.79,280
2018-04-19,88514.61,293
2018-04-20,42083.840000000004,197
2018-04-21,25376.7,156
2018-04-22,39765.64,200
2018-04-23,52689.11,285
2018-04-24,65026.71,271
2018-04-25,56619.88,284
2018-04-26,47517.27,254
2018-04-27,64741.87,242
2018-04-28,33471.979999999996,169
2018-04-29,26809.75,171
2018-04-30,53183.75,240
2018-05-01,44246.8,256
2018-05-02,59007.81,296
2018-05-03,66614.39,305
2018-05-04,55948.64,265
2018-05-05,40709.37,197
2018-05-06,38185.38,211
2018-05-07,80728.02,372
2018-05-08,67683.51,331
2018-05-09,69226.49,344
2018-05-10,82434.08,279
2018-05-11,60142.04,247
2018-05-12,44886.97,207
2018-05-13,46506.84,207
2018-05-14,75197.04,364
2018-05-15,79939.48,352
2018-05-16,80293.72,357
2018-05-17,43719.75,228
2018-05-18,46958.84,236
2018-05-19,35013.66,139
2018-05-20,29614.91,161
2018-05-21,42650.21,206
2018-05-22,55491.59,199
2018-05-23,25213.08,132
2018-05-24,27746.54,114
2018-05-25,31893.44,104
2018-05-26,22477.56,99
2018-05-27,16482.08,100
2018-05-28,40648.26,143
2018-05-29,36424.9,149
2018-05-30,30821.010000000002,140
2018-05-31,34206.59,133
2018-06-01,65404.79,184
